Burundi,167000
Ethiopia,6600000
Kenya,850000
Malawi,30000
Rwanda,300000
Tanzania,750000
Zambia,10000
India,5303000
Indonesia,11667000
Papua New Guinea,1000000
Viet Nam,27500000
Yemen,200000
Bolivia,100000
Brazil,47544000
Colombia,10900000
Costa Rica,1396000
Cuba,150000
Dominican Republic,450000
Ecuador,676000
El Salvador,844000
Guatemala,3143000
United States: Hawaii,43181
Honduras,4200000
Jamaica,18000
Mexico,3900000
Nicaragua,1500000
Panama,100000
Peru,4200000
Venezuela,900000

